Draw Number,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball 7,Ball 8,Ball 9,Ball 10,Ball 11,Ball 12,Ball 13,Ball 14,Ball 15,Ball 16,Ball 17,Ball 18,Ball 19,Ball 20,Bonus,Heads or Tails
400,33,62,22,65,39,1,72,29,27,80,4,56,26,41,14,44,21,75,19,7,reg,heads
401,51,68,9,6,3,46,24,69,43,29,55,27,8,20,32,28,50,31,76,16,reg,heads
402,36,57,74,35,16,50,67,45,22,61,63,66,13,17,19,69,2,5,15,65,reg,evens
403,7,3,65,78,77,2,13,19,55,29,44,58,71,51,32,79,72,18,74,24,x2,tails
404,76,79,63,54,65,35,48,58,28,26,52,70,61,21,36,34,51,18,62,6,reg,tails
405,66,2,37,32,55,27,36,76,15,9,79,61,35,34,10,58,49,26,52,29,reg,heads
406,59,40,10,1,2,37,67,26,35,6,80,56,36,68,72,29,44,69,61,54,reg,evens
407,46,75,61,37,25,27,28,47,30,18,48,5,20,54,77,64,12,35,68,60,reg,evens
408,57,17,11,75,5,8,48,69,58,38,45,21,16,18,77,73,64,78,42,53,reg,tails
409,75,52,67,66,53,24,50,13,59,22,38,60,76,27,21,8,40,19,2,5,x2,heads
410,48,64,71,22,4,75,19,14,72,55,50,35,7,43,63,58,56,37,62,27,x2,tails
411,18,14,49,9,25,73,71,76,35,5,22,47,28,10,19,75,2,44,39,3,reg,heads
412,43,71,11,76,7,66,61,25,37,34,33,55,6,29,21,77,67,58,64,45,x3,tails
413,73,43,75,35,13,60,48,2,37,27,30,14,4,11,56,61,19,42,38,46,x3,heads
414,14,1,41,3,21,9,27,7,56,11,44,47,2,4,59,48,58,22,26,18,x3,heads
415,12,16,3,22,71,59,29,13,5,1,50,7,24,17,72,79,41,66,25,69,reg,heads
416,76,79,47,30,17,5,62,36,51,71,13,41,23,14,39,57,46,60,64,29,x2,tails
417,62,2,60,9,33,80,25,64,14,74,7,63,17,47,22,56,38,46,32,34,reg,heads
418,52,78,53,60,1,36,31,18,26,17,40,39,30,37,5,27,62,11,79,42,x3,heads
419,2,51,43,14,55,80,3,66,38,46,59,27,50,78,54,15,67,49,79,62,reg,tails
420,36,26,38,72,62,16,24,47,15,71,60,34,31,13,75,20,49,73,37,19,reg,heads
421,61,48,66,25,29,50,57,22,30,27,70,68,54,23,24,36,21,14,2,65,reg,heads
422,26,54,17,50,58,49,5,78,42,62,29,77,30,46,9,47,15,7,52,21,x3,tails
423,58,56,3,67,50,47,14,4,29,62,79,51,77,38,18,55,32,16,10,57,reg,tails
424,60,14,1,59,61,36,28,31,24,21,7,54,73,72,33,20,74,34,65,71,x4,heads
425,55,63,43,11,13,53,7,16,64,20,27,6,54,19,77,66,58,60,25,4,reg,evens
426,39,54,4,36,48,44,23,59,64,17,80,49,20,47,30,32,46,14,74,60,x2,tails
427,75,49,32,61,67,33,11,12,24,65,46,39,25,54,2,17,52,18,15,43,x3,heads
428,74,6,26,71,9,16,43,66,42,23,61,20,35,46,5,4,12,62,3,73,reg,heads
429,39,54,78,25,51,30,19,63,35,64,8,9,74,29,71,49,11,52,50,47,reg,tails
430,23,22,36,59,28,4,11,15,18,75,43,3,25,21,67,51,1,38,53,41,x2,heads
431,9,43,45,32,35,28,11,69,64,77,53,54,63,60,3,22,15,78,2,51,x2,tails
432,17,53,48,3,44,27,36,15,39,47,19,42,11,52,34,13,50,32,75,78,x2,heads
433,7,39,62,6,70,23,71,2,13,68,44,55,36,59,56,30,27,28,73,24,reg,heads
434,62,14,10,7,31,58,1,40,2,42,35,71,39,55,28,41,6,54,67,22,x2,heads
435,37,59,44,21,23,57,20,68,10,45,9,79,62,19,43,63,53,54,42,16,x3,tails
436,46,72,20,80,14,28,17,48,7,25,29,31,49,4,44,22,68,24,2,15,reg,heads
437,66,68,37,49,79,32,62,56,21,75,24,15,51,76,63,13,64,7,4,57,x2,tails
438,34,6,18,28,15,76,3,56,42,47,21,31,78,38,50,73,72,8,25,32,x3,heads
439,42,41,79,78,68,30,33,54,47,65,12,43,9,36,7,62,25,19,16,40,x2,evens
